Unnamed: 0,original,normalized,prediction
971,T có bà chị đi thi đh vào sg mang theo đủ bộ skincare các bước trang điểm nhưng quên mang giấy tờ để dự thi,Tôi có bà chị đi thi đại học vào sg mang theo đủ bộ skincare các bước trang điểm nhưng quên mang giấy tờ để dự thi,tôi có bà chị đi thi đại học vào sg mang theo đủ bộ skincare các bước trang điểm nhưng quên mang giấy tờ để dự thi
972,"tui từng vậy trong thời gian ngắn, đi học về là đâm đầu đi làm, chạy bục mạng để kịp giờ cho cv tiếp theo","tui từng vậy trong thời gian ngắn, đi học về là đâm đầu đi làm, chạy bục mạng để kịp giờ cho công việc tiếp theo","tui từng vậy trong thời gian ngắn, đi học về là đâm đầu đi làm, chạy bục mạng để kịp giờ cho công việc tiếp theo"
973,hồi nhỏ đi theo gđ cúng mà sặc mùi nhang =)),hồi nhỏ đi theo gia đình cúng mà sặc mùi nhang =)),hồi nhỏ đi theo gia đình cúng mà sặc mùi nhang =))
974,"Cho xin cái địa chỉ face và thông tin nhà thằng chó này vào chửi cái, dc nó","Cho xin cái địa chỉ face và thông tin nhà thằng chó này vào chửi cái, được nó","Cho xin cái địa chỉ face và thông tin nhà thằng chó này vào chửi cái, được nó"
975,Mới thi xong toán cao cấp mà sao nhìn khum hiểu gì hết vậy,Mới thi xong toán cao cấp mà sao nhìn không hiểu gì hết vậy,Mới thi xong toán cao cấp mà sao nhìn không hiểu gì hết vậy
976,theo đúm kịch bản đê,theo đúng kịch bản đi,theo đúng kịch bản đê
977,"Thấy mn cứ tranh cãi xem mùa hè nên mặc màu áo màu đen hay trắng, theo mình là nên mặc cả hai màu nhé cụ thể là phối màu như này","Thấy mọi người cứ tranh cãi xem mùa hè nên mặc màu áo màu đen hay trắng, theo mình là nên mặc cả hai màu nhé cụ thể là phối màu như này","Thấy mọi người cứ tranh cãi xem mùa hè nên mặc màu áo màu đen hay trắng, theo mình là nên mặc cả hai màu nhé cụ thể là phối màu như này"
978,tôi thấy tôi trong này nhma tôi kh có ngiu,tôi thấy tôi trong này nhưng mà tôi không có người yêu,tôi thấy tôi trong này nhưng mà tôi không có người yêu
979,Bon vay tiền la bon đeo có liêm sỉ muốn ăn ko muốn ia,Bọn vay tiền là bọn đéo có liêm sỉ muốn ăn không muốn ỉa,Bon vay tiền là bon đeo có liêm sỉ muốn ăn không muốn ia
980,Có con choá zà con meow á aiu,Có con chó và con mèo á anh yêu,Có con chó và con mèo á anh
981,Tifu dễ thương thế nài đúng là báu vật,Tifu dễ thương thế này đúng là báu vật,Tifu dễ thương thế này đúng là báu vật
982,Khi nào a về làm thử xem ngon ko nha,Khi nào anh về làm thử xem ngon không nha,Khi nào anh về làm thử xem ngon không nha
983,:(( t thích ăn cá điêu hồng lắm,:(( tôi thích ăn cá điêu hồng lắm,( tôi thích ăn cá điêu hồng lắm
984,chời ơi đi tái khám huhu,trời ơi đi tái khám huhu,chời ơi đi tái khám huhu
985,Báo dc nha b nhưng p có bằng chứng nha,Báo được nha bạn nhưng phải có bằng chứng nha,Báo đc nha bạn nhưng bạn có bằng chứng nha
986,và có chị géi tỏ tình cơ mà =)))),và có chị gái tỏ tình cơ mà =)))),và có chị gái tỏ tình cơ mà =
987,Mỗi lần khók lok ngoo ngok xong nghe lời tâm tình của cô Cẩm Lan nó thấm tới từng cục gạch ống luôn,Mỗi lần khóc lóc ngu ngốc xong nghe lời tâm tình của cô Cẩm Lan nó thấm tới từng cục gạch ống luôn,Mỗi lần khó thở ngu ngốc xong nghe lời tâm tình của cô Cẩm Lan nó thấm tới từng cục gạch ống luôn
988,"may quá, éo có tóp tóp trong máy","may quá, đéo có tóp tóp trong máy","may quá, éo có tóp tóp trong máy"
989,ng ta mua vào và mua vào …,người ta mua vào và mua vào …,người ta mua vào và mua vào ...
990,Xin 60 trịu đi thăm Anh mà mẹ cũng khum cho,Xin 60 triệu đi thăm Anh mà mẹ cũng không cho,Xin 60 triệu đi thăm Anh mà mẹ cũng không cho
991,"Lại nhớ hồi học lớp 11, đc tiếng anh điểm rất cao mà cuối kỳ cô cho 7.8","Lại nhớ hồi học lớp 11, được tiếng anh điểm rất cao mà cuối kỳ cô cho 7.8","Lại nhớ hồi học lớp 11, được tiếng anh điểm rất cao mà cuối kỳ cô cho 7.8"
992,"mấy năm ko yêu ai, đến bạn bè, người thân còn sốt ruột hộ, rồi bỗng 1 ngày vấp phải của nợ trẻ trâu","mấy năm không yêu ai, đến bạn bè, người thân còn sốt ruột hộ, rồi bỗng 1 ngày vấp phải của nợ trẻ trâu","mấy năm không yêu ai, đến bạn bè, người thân còn sốt ruột hộ, rồi bỗng 1 ngày vấp phải của nợ trẻ trâu"
993,T nhớ cái năn Indo đưa Pencaksilat vào thi đấu,Tôi nhớ cái năm Indo đưa Pencaksilat vào thi đấu,T nhớ cái năm Indo đưa Pencaksilat vào thi đấu
994,tương lai y z lun,tương lai y vậy luôn,tương lai ý vậy luôn
995,Cứ như ck t dàn cảnh này đăng lên đây dằn mặt t z,Cứ như chồng tôi dàn cảnh này đăng lên đây dằn mặt tôi vậy,Cứ như chồng tôi dàn cảnh này đăng lên đây dằn mặt tôi vậy
996,làm chiếc đi cho tình củm,làm chiếc đi cho tình cảm,làm chiếc đi cho tình củm
997,Hướng ngờ chứ nội j,Hướng ngờ chứ nội gì,Hướng ngờ chứ nội j
998,Nc ngoài lương nó x20 lần lương ở VN chả,Nước ngoài lương nó x20 lần lương ở VN chả,Nc ngoài lương nó x20 lần lương ở VN chả
999,thấy mđ khó khăn trong chuyện thuê nhà,thấy mấy đứa khó khăn trong chuyện thuê nhà,thấy mọi người khó khăn trong chuyện thuê nhà
1000,em cũng y thế nhma em bị đuổi gòi =)),em cũng y thế nhưng mà em bị đuổi rồi =)),em cũng y thế nhưng mà em bị đuổi rồi =))
1001,Mong rằng có nhiều đãi ngộ hơn nữa cho những vdv đã cố gắnh,Mong rằng có nhiều đãi ngộ hơn nữa cho những vận động viên đã cố gắng,Mong rằng có nhiều đãi ngộ hơn nữa cho những vận động viên đã cố gắng
1002,"Tặng thì cứ tặng, hỏi làm gì mắc công gì cx k thích k biết rồi lại lm nhau khó chịu chỉ vì ""con gái các e thật khó chiều"" ""anh k hiểu e"" =))","Tặng thì cứ tặng, hỏi làm gì mắc công gì cũng không thích khôgn biết rồi lại làm nhau khó chịu chỉ vì ""con gái các em thật khó chiều"" ""anh không hiểu em"" =))","Tặng thì cứ tặng, hỏi làm gì mắc công gì cũng không thích không biết rồi lại làm nhau khó chịu chỉ vì ""con gái các em thật khó chiều"" ""anh không hiểu em"" =))"
1003,Về mẹ thấy mắng t sấp mặt,Về mẹ thấy mắng tôi sấp mặt,Về mẹ thấy mắng tôi sấp mặt
1004,"Gặp t thì 1 là k ăn luôn, 2 là ng khác gắp xong có miếng trên cùng là thịt nạc thì mình gắp","Gặp tôi thì 1 là không ăn luôn, 2 là người khác gắp xong có miếng trên cùng là thịt nạc thì mình gắp","Gặp tôi thì 1 là không ăn luôn, 2 là người khác gắp xong có miếng trên cùng là thịt nạc thì mình gắp"
1005,bảo sao tú dưa hông xem tóp tóp =)),bảo sao tú dưa không xem tóp tóp =)),bảo sao tú dưa hông xem tóp tóp =))
1006,Má t cũng hướng nội =)))),Má tôi cũng hướng nội =)))),Má tôi cũng hướng nội =
1007,Hổng nhớ lần cuối mình ăn sáng là khi nèo nựa,Không nhớ lần cuối mình ăn sáng là khi nào nữa,Hổng nhớ lần cuối mình ăn sáng là khi nào nữa
1008,Rui rốt cuộc nó có sạch thiệt không z,Rồi rốt cuộc nó có sạch thiệt không vậy,Rui rốt cuộc nó có sạch thiệt không vậy
1009,"Xưa thôi,giờ các cháu đầy đủ zui,ko thèm lấy đâu","Xưa thôi,giờ các cháu đầy đủ vui,không thèm lấy đâu","Xưa thôi,giờ các cháu đầy đủ vui,ko thèm lấy đâu"
1010,"Chuẩn quá ạ, cho ngta vay nhưng kiểu mình mắc nợ họ","Chuẩn quá ạ, cho người ta vay nhưng kiểu mình mắc nợ họ","Chuẩn quá ạ, cho người ta vay nhưng kiểu mình mắc nợ họ"
1011,v là t có redflag to đùng luôn,vậy là tôi có redflag to đùng luôn,vậy là tôi có redflag to đùng luôn
1012,Chắc chua quá ko ăn đc,Chắc chua quá không ăn được,Chắc chua quá không ăn được
1013,Suy nghĩ nên rep nnao nhiều quá nên tôi quyết định ghost luôn,Suy nghĩ nên rep như nào nhiều quá nên tôi quyết định ghost luôn,Suy nghĩ nên rep người yêu nhiều quá nên tôi quyết định ghost luôn
1014,Rứa mới đã cái nư tau,Rứa mới đã cái nư tao,Rứa mới đã cái nư tau
1015,"Tôi biet ơn số tiền 200 triệu sẽ đang tìm đến toi ngay bây giờ , cảm ơn , cảm ơn , cảm ơn","Tôi biết ơn số tiền 200 triệu sẽ đang tìm đến tôi ngay bây giờ , cảm ơn , cảm ơn , cảm ơn","Tôi biết ơn số tiền 200 triệu sẽ đang tìm đến tôi ngay bây giờ , cảm ơn , cảm ơn"
1016,ủa sao bài kia bị xoá zị đang cmt hăng mà=)))),ủa sao bài kia bị xoá vậy đang cmt hăng mà=)))),ủa sao bài kia bị xoá vậy đang cmt hăng mà=
1017,Xin vía trúng 1 tờ thôi cũm được ạ,Xin vía trúng 1 tờ thôi cũng được ạ,Xin vía trúng 1 tờ thôi cũng được ạ
1018,Mà làm gì tới lượt các bạn chê CP ghê zị,Mà làm gì tới lượt các bạn chê CP ghê vậy,Mà làm gì tới lượt các bạn chê CP ghê vậy
1019,có khi còn đàng ông hơn ngiu,có khi còn đàn ông hơn người yêu,có khi còn đàn ông hơn người yêu
1020,đu trend ni đc nề,đu trend này đc nè,đu trend này được nề
1021,hồi trước thì hay thật bh cảm giác ông ấy cạn ý tưởng rồi nên nhạt,hồi trước thì hay thật bây giờ cảm giác ông ấy cạn ý tưởng rồi nên nhạt,hồi trước thì hay thật nhưng cảm giác ông ấy cạn ý tưởng rồi nên nhạt
1022,bữa t đng chạy xe đạp cái thấy con chó rược chạy mà cứ nhìn con chó bị chơn bánh té nó nghĩ rược luôn ÷))),bữa tôi đang chạy xe đạp cái thấy con chó rượt chạy mà cứ nhìn con chó bị trơn bánh té nó nghỉ rượt luôn ÷))),bữa tôi đang chạy xe đạp cái thấy con chó rược chạy mà cứ nhìn con chó bị chơn bánh té nó nghĩ rược luôn ÷)))
1023,M k có nhà à:))),Mày không có nhà à:))),M không có nhà à:)))
1024,cb đón nhận 100 clip tiktok của tui nha pà,chuẩn bị đón nhận 100 clip tiktok của tui nha bà,chuẩn bị đón nhận 100 clip tiktok của tui nha bà
1025,"Nhiều b k thích ng lên thăm zô nói như thật,cái này là nta lên 1 buổi hoặc 1 lúc thôi,chả ai đi chăm mà đi cả nhà đâu ,ăn xong r về","Nhiều bạn không thích người lên thăm vô nói như thật,cái này là người ta lên 1 buổi hoặc 1 lúc thôi,chả ai đi chăm mà đi cả nhà đâu ,ăn xong rồi về","Nhiều bạn không thích người lên thăm vô nói như thật,cái này là người ta lên 1 buổi hoặc 1 lúc thôi,chả ai đi chăm mà đi cả nhà đâu ,ăn xong rồi về"
1026,Câu nói trend nhức nhoiis,Câu nói trend nhức nhói,Câu nói trend nhức nhói
1027,thiệt ra đi concert 1 mình quẫy với người chung fandom vui hơn nhiềuuu,thiệt ra đi concert 1 mình quẩy với người chung fandom vui hơn nhiều,thiệt ra đi concert 1 mình quẫy với người chung fandom vui hơn nhiều
1028,Mà bới 1 lần thì đc rồi này thấy bố mẹ ngta im im xong còn bới thêm 2 lần nữa thì nói thật bạn hơi bị thiếu tinh tế và kỹ năng sốngđấy,Mà bới 1 lần thì được rồi này thấy bố mẹ người ta im im xong còn bới thêm 2 lần nữa thì nói thật bạn hơi bị thiếu tinh tế và kỹ năng sốngđấy,Mà bới 1 lần thì được rồi này thấy bố mẹ người ta im im xong còn bới thêm 2 lần nữa thì nói thật bạn hơi bị thiếu tinh tế và kỹ năng sốngđấy
1029,ăn thử chè hẻm đuy ạ=)),ăn thử chè hẻm đi ạ=)),ăn thử chè hẻm đi ạ=))
1030,xong khóc lồi con mắt da,xong khóc lồi con mắt ra,xong khóc lồi con mắt da
1031,ai khai ra nè mng,ai khai ra nè mọi người,ai khai ra nè mọi người
1032,Battle dí ba để học kinh tế thay vì sư phạm,Battle với ba để học kinh tế thay vì sư phạm,Battle dí ba để học kinh tế thay vì sư phạm
1033,balo t là thùng rác r,balo tôi là thùng rác rồi,balo tôi là thùng rác rồi
1034,nhìn giống ae mình thế nhờ,nhìn giống anh em mình thế nhờ,nhìn giống anh em mình thế nhờ
1035,@ Anh  ôg mặc đi Hjhaaaaa,@ Anh  ông mặc đi Hjhaaaaa,@ Anh ông mặc đi Hjhaaaaa
1036,sao giờ TQ nhiều mỹ nữ quá z,sao giờ TQ nhiều mỹ nữ quá vậy,sao giờ TQ nhiều mỹ nữ quá vậy
1037,ê mình mà bị leak là giống v nè,ê mình mà bị leak là giống vậy nè,ê mình mà bị leak là giống vậy nè
1038,Cho hỏi s c này bị chửi thế ạ,Cho hỏi sao cậu này bị chửi thế ạ,Cho hỏi sao con chó này bị chửi thế ạ
1039,Thế mà là cái oto trước thì....,Thế mà là cái ô tô trước thì....,Thế mà là cái oto trước thì....
1040,vô tìm phim chữa lành nhaaa=))),vô tìm phim chữa lành nha=))),vô tìm phim chữa lành nha=)))
1041,Cắt dây phơi trc cửa nhà b đi,Cắt dây phơi trước cửa nhà bạn đi,Cắt dây phơi trước cửa nhà bạn đi
1042,liên hệ anh hồi chìu lẹ,liên hệ anh hồi chiều lẹ,liên hệ anh hồi đâu lẹ
1043,Sao lại dành cả 2 đứa dk.,Sao lại dành cả 2 đứa được.,Sao lại dành cả 2 đứa dk.
1044,"chồng t lấy t từ lúc lương 8tr, t lươnv 4tr sao t vẫn thấy ok nhỉ?","chồng tôi lấy tôi từ lúc lương 8tr, tôi lương 4tr sao tôi vẫn thấy ok nhỉ?","chồng tôi lấy tôi từ lúc lương 8tr, tôi lên 4tr sao tôi vẫn thấy ok nhỉ?"
